time,venue,code,raceno,runnerno,runnername,type,market,bookie,odds,result,BSP,BSP
,,,,,,,,,,,Price Win,Price Place
6/20/2025 20:14,RICHMOND STRAIGHT,Greyhounds,4,7,SISTER THREE,CASH,Fixed Win,Tabtouch,8,Success,Venue Load Error,Venue Load Error
6/20/2025 19:11,RICHMOND STRAIGHT,Greyhounds,1,2,JAMAL WICK,CASH,Fixed Win,TAB,4.2,Error,Venue Load Error,Venue Load Error
6/20/2025 21:36,MANDURAH,Greyhounds,3,3,ZAC'S THUNDER,CASH,Fixed Win,TAB,5,Success,4.6,1.67
6/20/2025 20:59,MANDURAH,Greyhounds,1,5,GETTIN' TIPSY,CASH,Fixed Win,TAB,13,Error,15.96,3.98
6/20/2025 20:58,MANDURAH,Greyhounds,1,5,GETTIN' TIPSY,CASH,Fixed Win,Sportsbet,16,Error,15.96,3.98
6/20/2025 21:24,WAGGA,Greyhounds,10,5,DANA PAULINE,CASH,Fixed Win,TAB,41,Success,42,6.8
6/20/2025 21:24,WAGGA,Greyhounds,10,6,BIANCA'S MATE,CASH,Fixed Win,Tabtouch,21,Success,19.6,4.2
6/20/2025 21:23,WAGGA,Greyhounds,10,6,BIANCA'S MATE,CASH,Fixed Win,TAB,19,Error,19.6,4.2
6/20/2025 21:02,WAGGA,Greyhounds,9,8,EDGE OF FAITH,CASH,Fixed Win,Sportsbet,4.4,Success,4.15,1.54
6/20/2025 20:46,WAGGA,Greyhounds,8,8,QUEEN OF SPADES,CASH,Fixed Win,BetRight,6.75,Error,7,2.97
6/20/2025 20:10,WAGGA,Greyhounds,6,8,ASTON LAMBADA,CASH,Fixed Win,Betr,4.6,Error,4.7,1.55
6/20/2025 20:09,WAGGA,Greyhounds,6,8,ASTON LAMBADA,CASH,Fixed Win,BetRight,5.25,Error,4.7,1.55
6/20/2025 19:42,WAGGA,Greyhounds,5,2,TANGO ANNA,CASH,Fixed Win,Tabtouch,20,Error,23.69,4.1
6/20/2025 19:41,WAGGA,Greyhounds,5,2,TANGO ANNA,CASH,Fixed Win,Sportsbet,21,Error,23.69,4.1
6/20/2025 19:22,WAGGA,Greyhounds,4,8,SILVERTREE NACHO,CASH,Fixed Win,Tabtouch,8,Error,9.11,3.5
6/20/2025 18:16,WAGGA,Greyhounds,1,7,WILD TERRELL,CASH,Fixed Win,TAB,31,Success,32,6.6
6/20/2025 20:09,REDCLIFFE,Harness,6,3,BEACH MAGIC,CASH,Fixed Win,Tabtouch,5,Error,4.1,1.68
6/20/2025 20:08,REDCLIFFE,Harness,6,3,BEACH MAGIC,CASH,Fixed Win,BetRight,5.5,Error,4.1,1.68
