Time,Venue,Code,RaceNo,RunnerNo,RunnerName,Type,Market,Bookie,Odds
6/7/2025 18:23,GEELONG,Greyhounds,7,8,NAVARINO,CASH,Fixed Win,BetRight,15
6/7/2025 18:22,ALBION PARK,Harness,4,2,FENOMENAL,CASH,Fixed Win,TAB,19
6/7/2025 18:22,GEELONG,Greyhounds,7,4,FLYING ENVY,CASH,Fixed Win,BetRight,6.25
6/7/2025 18:21,GEELONG,Greyhounds,7,2,PANAMA RHODE,CASH,Fixed Win,TAB,4.2
6/7/2025 18:21,ALBION PARK,Harness,4,3,TAM OSHANTER,CASH,Fixed Win,Sportsbet,61
6/7/2025 18:20,ALBION PARK,Harness,4,5,MONARCH HILL NZ,CASH,Fixed Win,Sportsbet,81
6/7/2025 18:17,DUBBO,Greyhounds,6,3,BELL MAC MAGIC,CASH,Fixed Win,BetRight,5
6/7/2025 18:12,DUBBO,Greyhounds,6,7,WESTSIDE STORM,CASH,Fixed Win,BetRight,2.5
6/7/2025 18:07,THE GARDENS,Greyhounds,1,1,LION ZECH,CASH,Fixed Win,Tabtouch,12
6/7/2025 18:07,THE GARDENS,Greyhounds,1,1,LION ZECH,CASH,Fixed Win,TAB,13
6/7/2025 18:04,MELTON,Harness,3,5,MY ULTIMATE BARNEY,CASH,Fixed Win,Tabtouch,3
6/7/2025 18:04,MELTON,Harness,3,5,MY ULTIMATE BARNEY,CASH,Fixed Win,Sportsbet,3.2
6/7/2025 18:03,MELTON,Harness,3,12,JILLIBY ILLUMINATE NZ,CASH,Fixed Win,TAB,2.9
6/7/2025 18:01,GEELONG,Greyhounds,6,3,DOUBLE DENIM,CASH,Fixed Win,TAB,26
6/7/2025 18:01,GEELONG,Greyhounds,6,3,DOUBLE DENIM,CASH,Fixed Win,BetRight,21
6/7/2025 18:01,GEELONG,Greyhounds,6,2,CHICKEN FISH,CASH,Fixed Win,BetRight,26
6/7/2025 17:58,ALBION PARK,Harness,3,2,DEUS EX NZ,CASH,Fixed Win,TAB,8.5
6/7/2025 17:45,MENANGLE,Harness,2,5,HY POACTIVE,CASH,Fixed Win,Tabtouch,5.5
6/7/2025 17:36,MENANGLE,Harness,2,7,SOHO SPECTRE,CASH,Fixed Win,Tabtouch,3.8
6/6/2025 22:04,MELTON,Harness,8,7,NOBLE JULIA,CASH,Fixed Win,Tabtouch,23
6/6/2025 22:04,MELTON,Harness,8,7,NOBLE JULIA,CASH,Fixed Win,Sportsbet,26
6/6/2025 22:04,MELTON,Harness,8,10,ARCHAA,CASH,Fixed Win,Tabtouch,5
6/6/2025 22:04,MELTON,Harness,8,10,ARCHAA,CASH,Fixed Win,Sportsbet,6
6/6/2025 22:04,MELTON,Harness,8,10,ARCHAA,CASH,Fixed Win,BetRight,5.25
6/6/2025 22:00,PARKES,Harness,8,3,STELLA MAY,CASH,Fixed Win,Sportsbet,19
6/6/2025 21:59,PARKES,Harness,8,2,MISS BLUE STORK,CASH,Fixed Win,Tabtouch,3.5
6/6/2025 21:59,PARKES,Harness,8,2,MISS BLUE STORK,CASH,Fixed Win,Sportsbet,4.6
6/6/2025 21:59,PARKES,Harness,8,2,MISS BLUE STORK,CASH,Fixed Win,BetRight,4.41
6/6/2025 21:59,PARKES,Harness,8,3,STELLA MAY,CASH,Fixed Win,BetRight,19
6/6/2025 21:58,RICHMOND STRAIGHT,Greyhounds,10,7,TINY SNIFFY,CASH,Fixed Win,BetRight,17
6/6/2025 21:57,PARKES,Harness,8,1,ONE STUNIN MELODY,CASH,Fixed Win,Sportsbet,6
6/6/2025 21:57,PARKES,Harness,8,1,ONE STUNIN MELODY,CASH,Fixed Win,Tabtouch,5
6/6/2025 21:56,PARKES,Harness,8,1,ONE STUNIN MELODY,CASH,Fixed Win,BetRight,5.5
6/6/2025 21:55,RICHMOND STRAIGHT,Greyhounds,10,6,CATASTROPHIZE,CASH,Fixed Win,Tabtouch,8.5
6/6/2025 21:55,RICHMOND STRAIGHT,Greyhounds,10,6,CATASTROPHIZE,CASH,Fixed Win,BetRight,9
6/6/2025 21:51,GLOUCESTER PARK,Harness,6,7,JOEY JAMES,CASH,Fixed Win,Tabtouch,61
6/6/2025 21:48,GLOUCESTER PARK,Harness,6,12,EN PARIANT SUR,CASH,Fixed Win,Tabtouch,5.5
6/6/2025 21:48,GLOUCESTER PARK,Harness,6,7,JOEY JAMES,CASH,Fixed Win,Sportsbet,51
6/6/2025 21:47,GLOUCESTER PARK,Harness,6,3,YANKEE LINCOLN NZ,CASH,Fixed Win,Sportsbet,12
6/6/2025 21:44,BENDIGO,Greyhounds,10,3,LALA EFFIE,CASH,Fixed Win,Sportsbet,17
6/6/2025 21:33,MELTON,Harness,7,9,LAVADA GOLD,CASH,Fixed Win,Sportsbet,10
6/6/2025 21:31,MELTON,Harness,7,2,DI ANGELO,CASH,Fixed Win,Sportsbet,21
6/6/2025 21:28,PARKES,Harness,7,4,LAST FLITE,CASH,Fixed Win,Sportsbet,14
6/6/2025 21:28,PARKES,Harness,7,4,LAST FLITE,CASH,Fixed Win,Tabtouch,14
6/6/2025 21:27,PARKES,Harness,7,7,SOHO BETTY DEE,CASH,Fixed Win,Sportsbet,26
6/6/2025 21:27,PARKES,Harness,7,7,SOHO BETTY DEE,CASH,Fixed Win,BetRight,21
6/6/2025 21:26,PARKES,Harness,7,3,CHASIN YOU,CASH,Fixed Win,TAB,26
6/6/2025 21:26,PARKES,Harness,7,3,CHASIN YOU,CASH,Fixed Win,BetRight,21
6/6/2025 21:26,PARKES,Harness,7,3,CHASIN YOU,CASH,Fixed Win,Tabtouch,23
6/6/2025 21:26,PARKES,Harness,7,3,CHASIN YOU,CASH,Fixed Win,Sportsbet,34
6/6/2025 21:20,RICHMOND STRAIGHT,Greyhounds,8,3,RUN FOR DAD,CASH,Fixed Win,Sportsbet,81
6/6/2025 21:19,RICHMOND STRAIGHT,Greyhounds,8,3,RUN FOR DAD,CASH,Fixed Win,BetRight,91
6/6/2025 21:09,GEELONG,Greyhounds,8,9,TREBLE BEERS,CASH,Fixed Win,TAB,23
6/6/2025 21:09,MANDURAH,Greyhounds,2,1,ZEZE GOLD,CASH,Fixed Win,TAB,9
6/6/2025 21:09,MELTON,Harness,6,5,CLAUDY AN GUS,CASH,Fixed Win,TAB,17
6/6/2025 21:09,GEELONG,Greyhounds,8,9,TREBLE BEERS,CASH,Fixed Win,Sportsbet,23
6/6/2025 21:08,MELTON,Harness,6,7,TRIPOD NZ,CASH,Fixed Win,Tabtouch,14
6/6/2025 21:07,MELTON,Harness,6,7,TRIPOD NZ,CASH,Fixed Win,TAB,15
6/6/2025 21:05,MELTON,Harness,6,4,YOU NO ILL BE LATE,CASH,Fixed Win,TAB,61
6/6/2025 21:00,BENDIGO,Greyhounds,8,7,CORNHILL PRINCE,CASH,Fixed Win,Tabtouch,26
6/6/2025 21:00,MELTON,Harness,6,4,YOU NO ILL BE LATE,CASH,Fixed Win,Sportsbet,126
6/6/2025 21:00,BENDIGO,Greyhounds,8,2,HIS SPECIAL,CASH,Fixed Win,Tabtouch,17
6/6/2025 21:00,BENDIGO,Greyhounds,8,2,HIS SPECIAL,CASH,Fixed Win,TAB,23
6/6/2025 21:00,BENDIGO,Greyhounds,8,2,HIS SPECIAL,CASH,Fixed Win,Sportsbet,23
6/6/2025 21:00,BENDIGO,Greyhounds,8,2,HIS SPECIAL,CASH,Fixed Win,BetRight,17
6/6/2025 21:00,BENDIGO,Greyhounds,8,7,CORNHILL PRINCE,CASH,Fixed Win,TAB,41
6/6/2025 21:00,BENDIGO,Greyhounds,8,7,CORNHILL PRINCE,CASH,Fixed Win,Sportsbet,46
6/6/2025 21:00,BENDIGO,Greyhounds,8,7,CORNHILL PRINCE,CASH,Fixed Win,BetRight,23
6/6/2025 20:59,RICHMOND STRAIGHT,Greyhounds,7,1,GOLD ATTACK,CASH,Fixed Win,BetRight,11
6/6/2025 20:59,PARKES,Harness,6,10,LADY ROCKABELLUM,CASH,Fixed Win,Tabtouch,5
6/6/2025 20:59,PARKES,Harness,6,10,LADY ROCKABELLUM,CASH,Fixed Win,TAB,5
6/6/2025 20:59,PARKES,Harness,6,10,LADY ROCKABELLUM,CASH,Fixed Win,Sportsbet,5
6/6/2025 20:59,PARKES,Harness,6,10,LADY ROCKABELLUM,CASH,Fixed Win,BetRight,5
6/6/2025 20:57,PARKES,Harness,6,2,MIDNIGHT TERROR,CASH,Fixed Win,Tabtouch,11
6/6/2025 20:57,PARKES,Harness,6,2,MIDNIGHT TERROR,CASH,Fixed Win,TAB,15
6/6/2025 20:57,PARKES,Harness,6,2,MIDNIGHT TERROR,CASH,Fixed Win,Sportsbet,17
6/6/2025 20:57,MELTON,Harness,6,5,CLAUDY AN GUS,CASH,Fixed Win,Tabtouch,19
6/6/2025 20:57,MELTON,Harness,6,5,CLAUDY AN GUS,CASH,Fixed Win,Sportsbet,27
6/6/2025 20:54,GLOUCESTER PARK,Harness,4,1,BET ON THE RIVER,CASH,Fixed Win,Tabtouch,8
6/6/2025 20:54,PARKES,Harness,6,7,ALPHA XENA,CASH,Fixed Win,Tabtouch,9.5
6/6/2025 20:54,PARKES,Harness,6,7,ALPHA XENA,CASH,Fixed Win,Sportsbet,11
6/6/2025 20:53,PARKES,Harness,6,3,KARINYA MAX,CASH,Fixed Win,Tabtouch,4
6/6/2025 20:53,PARKES,Harness,6,3,KARINYA MAX,CASH,Fixed Win,Sportsbet,4
6/6/2025 20:52,GLOUCESTER PARK,Harness,4,11,SOUND WAVE,CASH,Fixed Win,Tabtouch,41
6/6/2025 20:52,GLOUCESTER PARK,Harness,4,11,SOUND WAVE,CASH,Fixed Win,TAB,26
6/6/2025 20:51,PARKES,Harness,6,1,CARIBBEAN PAT,CASH,Fixed Win,TAB,31
6/6/2025 20:51,PARKES,Harness,6,1,CARIBBEAN PAT,CASH,Fixed Win,Sportsbet,51
6/6/2025 20:51,GLOUCESTER PARK,Harness,4,5,OUR LADY JEN,CASH,Fixed Win,TAB,14
6/6/2025 20:51,GLOUCESTER PARK,Harness,4,12,MY SILVER SPOON NZ,CASH,Fixed Win,TAB,7.5
6/6/2025 20:51,GLOUCESTER PARK,Harness,4,5,OUR LADY JEN,CASH,Fixed Win,Sportsbet,17
6/6/2025 20:43,GLOUCESTER PARK,Harness,4,11,SOUND WAVE,CASH,Fixed Win,Sportsbet,61
6/6/2025 20:43,ALBION PARK,Harness,8,7,THEBESTBOURBON,CASH,Fixed Win,Sportsbet,8.5
6/6/2025 20:43,ALBION PARK,Harness,8,7,THEBESTBOURBON,CASH,Fixed Win,TAB,8.5
6/6/2025 20:43,ALBION PARK,Harness,8,7,THEBESTBOURBON,CASH,Fixed Win,BetRight,7
6/6/2025 20:42,NEWCASTLE,Harness,8,4,STICK MAN NZ,CASH,Fixed Win,Tabtouch,7.5
6/6/2025 20:42,NEWCASTLE,Harness,8,4,STICK MAN NZ,CASH,Fixed Win,Sportsbet,7.5
6/6/2025 20:42,NEWCASTLE,Harness,8,4,STICK MAN NZ,CASH,Fixed Win,TAB,6.5
6/6/2025 20:42,NEWCASTLE,Harness,8,4,STICK MAN NZ,CASH,Fixed Win,BetRight,6.75
6/6/2025 20:33,GEELONG,Greyhounds,6,10,IAN ALBERT,CASH,Fixed Win,Tabtouch,81
6/6/2025 20:33,GEELONG,Greyhounds,6,2,OTTO BLUEWAGON,CASH,Fixed Win,Tabtouch,19
6/6/2025 20:32,GEELONG,Greyhounds,6,10,IAN ALBERT,CASH,Fixed Win,Sportsbet,126
6/6/2025 20:32,GEELONG,Greyhounds,6,2,OTTO BLUEWAGON,CASH,Fixed Win,TAB,19
6/6/2025 20:31,GEELONG,Greyhounds,6,5,WEBLEC BILLY,CASH,Fixed Win,Tabtouch,6.5
6/6/2025 20:31,GEELONG,Greyhounds,6,2,OTTO BLUEWAGON,CASH,Fixed Win,BetRight,26
6/6/2025 20:31,MELTON,Harness,5,9,SALSAWITHSIERRA,CASH,Fixed Win,TAB,3.9
6/6/2025 20:31,GEELONG,Greyhounds,6,5,WEBLEC BILLY,CASH,Fixed Win,TAB,6.5
6/6/2025 20:29,MELTON,Harness,5,9,SALSAWITHSIERRA,CASH,Fixed Win,Sportsbet,4.4
6/6/2025 20:29,PARKES,Harness,5,2,CAMNAT,CASH,Fixed Win,TAB,4.2
6/6/2025 20:28,PARKES,Harness,5,8,VALENTINI,CASH,Fixed Win,Tabtouch,5
6/6/2025 20:28,PARKES,Harness,5,8,VALENTINI,CASH,Fixed Win,Sportsbet,5
6/6/2025 20:28,PARKES,Harness,5,8,VALENTINI,CASH,Fixed Win,BetRight,4.8
6/6/2025 20:28,PARKES,Harness,5,4,ROCK QUEEN,CASH,Fixed Win,Tabtouch,18
