Time,Venue,Code,RaceNo,RunnerNo,RunnerName,Type,Market,Bookie,Odds,Result
6/20/2025 18:07,newcastle,Harness,3,5,AMERICAN WEREWOLF,CASH,Fixed Win,BetRight,7,Error
6/20/2025 18:07,the gardens,Greyhounds,10,5,RITZA BENJI,CASH,Fixed Win,Sportsbet,5,Success
6/20/2025 18:06,murray bridge,Greyhounds,9,6,ASTON ZINGARA,CASH,Fixed Win,Tabtouch,1.95,Error
6/20/2025 18:05,murray bridge,Greyhounds,9,6,ASTON ZINGARA,CASH,Fixed Win,TAB,2.1,Success
6/20/2025 18:04,newcastle,Harness,3,5,AMERICAN WEREWOLF,CASH,Fixed Win,TAB,11,Success
6/20/2025 18:01,q1 lakeside,Greyhounds,10,8,SWEET LADETTE,CASH,Fixed Win,Tabtouch,2.4,Error
6/20/2025 18:01,q1 lakeside,Greyhounds,10,8,SWEET LADETTE,CASH,Fixed Win,TAB,2.4,Error
6/20/2025 18:01,q1 lakeside,Greyhounds,10,8,SWEET LADETTE,CASH,Fixed Win,Betr,2.5,Success
6/20/2025 17:59,q1 lakeside,Greyhounds,10,8,SWEET LADETTE,CASH,Fixed Win,Sportsbet,2.7,Success
6/20/2025 17:57,newcastle,Harness,3,4,DANCE WITH CARMER,CASH,Fixed Win,Tabtouch,2.45,Error
6/20/2025 17:57,newcastle,Harness,3,4,DANCE WITH CARMER,CASH,Fixed Win,TAB,2.4,Error
6/20/2025 17:57,newcastle,Harness,3,4,DANCE WITH CARMER,CASH,Fixed Win,Sportsbet,2.5,Success
6/20/2025 17:57,newcastle,Harness,3,4,DANCE WITH CARMER,CASH,Fixed Win,BetRight,2.35,Error
6/20/2025 17:57,newcastle,Harness,3,4,DANCE WITH CARMER,CASH,Fixed Win,Betr,2.5,Success
6/20/2025 17:55,mildura,Harness,10,11,DEE ROE,CASH,Fixed Win,Tabtouch,1.36,Success
6/20/2025 17:46,redcliffe,Harness,2,2,ROYAL WINKLE,CASH,Fixed Win,Tabtouch,15,Error
